@relation brainmusic

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute class {Yuting, Yang, Wu, Sergiu, Samia, Saad, Ramaniya, Meryem, Ioana, Feda, Amine, Alex, Agus, Naya}

@data
0,1,38,62,11,1,0,1,0,0,0,5,53,50,5,1,0,0,0,0,0,21,81,12,0,0,0,0,23,90,1,0,0,0,0,37,68,9,0,0,3,47,52,7,1,2,1,1,0,0,23,80,6,2,3,0,0,0,0,65,42,2,4,1,0,0,0,49,60,4,1,0,0,0,2,62,45,5,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,114,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,114,0,2,49,55,6,1,1,0,0,0,0,1,45,64,4,0,0,0,0,0,2,7,92,13,0,0,0,0,21,92,1,0,0,0,0,21,70,23,0,0,Yuting
0,1,30,67,19,0,0,0,0,0,0,3,72,40,2,0,0,0,0,0,0,52,61,4,0,0,0,0,83,34,0,0,0,0,0,88,29,0,0,0,5,51,49,11,0,1,0,0,0,1,46,57,12,1,0,0,0,0,9,65,36,7,0,0,0,0,7,94,4,12,0,0,0,0,89,11,9,8,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,117,0,0,1,50,54,12,0,0,0,0,0,0,9,72,36,0,0,0,0,0,0,0,63,54,0,0,0,0,0,92,25,0,0,0,0,1,90,25,1,0,0,Yuting
0,0,18,62,36,1,0,0,0,0,0,2,61,50,4,0,0,0,0,0,0,25,81,11,0,0,0,0,53,64,0,0,0,0,0,54,60,3,0,0,0,11,61,26,8,8,3,0,0,0,6,62,33,9,7,0,0,0,0,2,62,43,8,2,0,0,0,0,2,63,48,4,0,0,0,0,3,60,39,15,117,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,30,58,28,1,0,0,0,0,0,6,60,46,5,0,0,0,0,0,0,33,72,12,0,0,0,0,76,39,2,0,0,0,0,73,39,5,0,0,Yuting
0,0,24,43,49,1,0,0,0,0,0,2,43,63,9,0,0,0,0,0,0,38,68,11,0,0,0,0,45,72,0,0,0,0,0,58,59,0,0,0,7,50,22,18,19,1,0,0,0,0,37,44,20,11,5,0,0,0,3,55,38,15,6,0,0,0,3,89,17,7,1,0,0,0,74,31,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,49,41,1,0,0,0,0,0,0,51,58,8,0,0,0,0,0,0,37,72,8,0,0,0,0,69,48,0,0,0,0,0,96,20,1,0,0,Yuting
0,0,11,55,39,5,2,4,0,0,0,1,45,63,7,0,0,0,0,0,2,37,74,3,0,0,0,0,37,77,2,0,0,0,0,55,52,6,3,0,1,46,42,18,3,4,2,0,0,0,25,73,12,6,0,0,0,0,5,66,34,11,0,0,0,0,0,96,19,1,0,0,0,0,17,88,11,0,0,0,0,0,0,12,104,0,0,0,0,0,12,0,0,1,103,0,0,0,12,0,0,0,104,0,0,0,0,0,12,104,0,0,0,0,0,12,0,0,104,0,0,0,12,72,28,3,1,0,0,0,0,1,35,74,6,0,0,0,0,0,0,39,68,9,0,0,0,0,49,65,2,0,0,0,0,45,63,8,0,0,Yuting
1,2,24,49,28,12,1,0,0,0,0,2,56,51,8,0,0,0,0,0,0,38,74,5,0,0,0,0,38,72,7,0,0,0,0,43,56,14,1,3,12,51,30,11,10,2,1,0,0,0,39,62,12,3,0,1,0,0,7,77,27,5,1,0,0,0,1,106,8,2,0,0,0,0,51,62,4,0,0,0,0,2,33,32,17,21,12,0,0,0,0,27,42,27,18,3,0,0,0,1,35,59,19,3,0,0,0,0,0,69,48,0,0,0,0,0,0,75,42,0,0,3,31,47,31,5,0,0,0,0,0,4,58,48,6,1,0,0,0,0,0,28,82,7,0,0,0,0,52,63,2,0,0,0,0,48,53,13,3,0,Yuting
0,0,24,72,17,1,3,0,0,0,0,3,64,46,2,2,0,0,0,0,0,33,77,7,0,0,0,0,66,50,1,0,0,0,1,95,15,3,3,0,3,59,39,10,3,0,3,0,0,0,39,64,10,2,1,1,0,0,12,73,25,5,0,2,0,0,7,101,4,5,0,0,0,0,96,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,65,10,0,4,0,0,0,0,5,69,40,1,2,0,0,0,0,0,36,72,9,0,0,0,0,64,48,5,0,0,0,0,87,22,3,5,0,Yuting
0,2,35,66,14,0,0,0,0,0,0,2,63,50,2,0,0,0,0,0,0,24,79,14,0,0,0,0,54,63,0,0,0,0,0,86,29,2,0,0,3,64,40,9,1,0,0,0,0,0,39,67,11,0,0,0,0,0,4,70,41,2,0,0,0,0,2,111,4,0,0,0,0,0,77,37,3,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,117,0,0,5,39,60,13,0,0,0,0,0,0,3,67,40,4,3,0,0,0,0,0,30,74,13,0,0,0,0,62,55,0,0,0,0,1,99,17,0,0,0,Yuting
0,0,21,63,29,3,0,0,0,0,0,2,52,58,4,0,0,0,0,0,1,41,68,6,0,0,0,0,57,57,2,0,0,0,0,82,27,6,1,0,8,72,28,6,1,1,0,0,0,0,60,51,4,1,0,0,0,0,12,79,24,1,0,0,0,0,2,107,5,1,1,0,0,0,71,38,5,1,1,0,0,3,64,32,5,5,3,4,0,0,1,60,38,9,8,0,0,0,0,4,79,31,2,0,0,0,0,0,4,111,1,0,0,0,0,0,6,105,5,0,0,3,29,60,21,2,1,0,0,0,0,1,62,53,0,0,0,0,0,0,1,44,69,2,0,0,0,0,44,71,1,0,0,0,0,62,45,9,0,0,Yuting
0,0,21,66,28,0,2,0,0,0,0,2,49,61,4,1,0,0,0,0,0,36,75,6,0,0,0,0,51,65,1,0,0,0,1,83,30,3,0,0,6,63,36,7,4,1,0,0,0,2,37,67,9,2,0,0,0,0,11,72,29,5,0,0,0,0,1,105,10,1,0,0,0,0,72,38,7,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,117,0,0,0,0,117,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,117,0,0,0,0,21,71,24,1,0,0,0,0,0,2,43,70,2,0,0,0,0,0,0,35,78,4,0,0,0,1,65,51,0,0,0,0,0,91,24,2,0,0,Yuting
0,0,35,75,7,0,0,0,0,0,0,5,67,40,5,0,0,0,0,0,2,34,72,9,0,0,0,0,64,53,0,0,0,0,0,103,12,2,0,0,10,76,25,3,1,2,0,0,0,0,52,55,8,0,2,0,0,0,8,82,22,3,2,0,0,0,5,108,2,2,0,0,0,0,105,10,0,1,1,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,117,0,0,2,41,66,8,0,0,0,0,0,0,5,54,49,9,0,0,0,0,0,0,36,76,5,0,0,0,0,80,36,1,0,0,0,1,97,19,0,0,0,Yuting
0,0,10,57,49,1,0,0,0,0,0,0,55,55,7,0,0,0,0,0,0,26,81,10,0,0,0,0,50,65,2,0,0,0,1,66,46,2,2,0,6,46,37,12,15,1,0,0,0,0,31,53,22,10,1,0,0,0,6,67,26,13,5,0,0,0,1,97,14,5,0,0,0,0,70,42,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,34,2,0,0,0,0,0,1,46,64,6,0,0,0,0,0,0,31,82,4,0,0,0,0,63,53,1,0,0,0,0,75,38,4,0,0,Yuting
