,delta ,theta ,alpha ,beta ,gamma

Left Ear_person1_test1
min,0.24344456590984,0.342318192694338,0.438783425602375,0.425513109215341,0.482464550588489
Q1,0.389906377828463,0.461798671673837,0.509175913268414,0.578074993861294,0.580322834835022
Q2,0.499213890818327,0.578172698940367,0.586494840081064,0.627467685042915,0.67991033932774
Q3,0.625892222606708,0.669796007691445,0.653710637456485,0.668981180320241,0.721831886239512
max,0.806252639496363,0.882737447677667,0.780472092577825,0.714897197651271,0.796547684552395
mean,0.513638089342489,0.560652660405823,0.589053894331358,0.614241386309385,0.656084422574237
Std Dev,0.153853358316024,0.126170011853974,0.0931975094633963,0.0691151893955242,0.0840157930603373

Left Forehead_person1_test1
min,0.0990522807490974,0.163303370778665,0.127148606153108,0.219735324439911,0.266827768862753
Q1,0.162181620627458,0.220828131011126,0.201170370935242,0.280824468739785,0.355060324281604
Q2,0.231172127576022,0.270674358785114,0.225620975247284,0.347707283138697,0.392502687831348
Q3,0.335976156629203,0.32079378685198,0.254340863526424,0.375411177999037,0.456137034877788
max,0.914528064229384,0.900554518790227,0.543984906409345,0.435572783231033,0.562280648459217
mean,0.28285132017372,0.308979083152494,0.235614240487595,0.332920771621352,0.407050572751294
Std Dev,0.181819619600746,0.146469769135054,0.081675832415006,0.0583579658217653,0.0741924688731348

Right Forehead_person1_test1
min,0.110704118343711,0.182181981569463,0.0779996067990006,0.0510206568751774,0.14139613844005
Q1,0.166702768031027,0.241102273186549,0.187549399861967,0.124271491123637,0.24389741069972
Q2,0.221621262262238,0.322995899316716,0.210721701112087,0.148816725135,0.333342510501423
Q3,0.437658664061081,0.391924612163555,0.310476618797822,0.178696589317478,0.42031045085763
max,0.743751617324409,0.822696667191703,0.582392680608418,0.271471449620543,0.501149654783794
mean,0.302959027376163,0.342662706341371,0.245426815135687,0.152507892934303,0.328957111037884
Std Dev,0.174243628321263,0.136003450421989,0.109279360015477,0.048770836148752,0.10694082289403

Right Ear_person1_test1
min,0.147980909773991,0.338227972614901,0.380950682539531,0.217956165994392,0.201438215625754
Q1,0.337523012452877,0.462324078877888,0.425383667610462,0.307067601868328,0.307730321246379
Q2,0.395583934948904,0.495746249154645,0.46903203049859,0.337952601502887,0.341877198831926
Q3,0.557556121932898,0.633945485810477,0.579326057520279,0.400366532703033,0.372983899009555
max,0.843418821063412,0.81423710212014,0.727982291697737,0.468508732068641,0.456693632722194
mean,0.449298054517791,0.535063836419616,0.506452583468851,0.348937746181055,0.338243842481393
Std Dev,0.160050650798293,0.112482851632759,0.110110314725494,0.0741299231022804,0.0596287461149399

Left Ear_person1_test2
min,0.258238849477285,0.384512508033276,0.376236383586334,0.316158300448513,0.287638549565482
Q1,0.325029237892488,0.432420276689063,0.447894723809127,0.375446243149721,0.400816658769883
Q2,0.363317761003013,0.473974180227323,0.484408886267549,0.396211229110755,0.425497459055337
Q3,0.502752726081108,0.542369258568772,0.54615131072315,0.467266462395528,0.4674211130761
max,0.703457678118237,0.877990103400145,0.920562986541683,0.758308060568873,0.682860536292385
mean,0.416847411191539,0.505286903516519,0.528450153923403,0.44768842070517,0.448586881539878
Std Dev,0.131434511425812,0.118056201383137,0.130904688306414,0.126828659272955,0.094714655076729

Left Forehead_person1_test2
min,0.017063120388942,0.122196331883846,0.120161329657204,0.076037915940418,0
Q1,0.133516890034779,0.183990605711621,0.1952891575012,0.118889629555222,0.271299134733436
Q2,0.193168397835293,0.262463297737343,0.21491929530727,0.16176280573332,0.351893336869013
Q3,0.312825696790971,0.399946942428342,0.289028529021179,0.220786230596763,0.392854963697541
max,0.900552860306382,0.85971218538609,0.614361507047884,0.263532722619213,0.442790561035642
mean,0.274097511975767,0.324132516890003,0.257058687784945,0.170189087784314,0.309202016906133
Std Dev,0.223895543619207,0.190012846964428,0.121038115794654,0.0603610339999105,0.11616784616244

Right Forehead_person1_test2
min,0.019395676245907,0.113214437421048,0.0819454332311498,0.0506327568145799,0.0963764146780095
Q1,0.153213125377197,0.207393545045183,0.175081796500849,0.100437438408291,0.324475494296442
Q2,0.229581276651287,0.288359302334475,0.267153191934802,0.158026586205461,0.388506577078788
Q3,0.447827756307854,0.462194228372041,0.351563494551371,0.192850717806899,0.450890402385024
max,0.87370873749287,0.701219869901406,0.557086711700938,0.355835965106781,0.524889350780352
mean,0.301857244013469,0.335055365481106,0.290815610388887,0.159945073691177,0.36403348792294
Std Dev,0.219465388526068,0.169845640219132,0.133637535405167,0.0772283829134872,0.113605800666332

Right Ear_person1_test2
min,0.198795595407134,0.275295729183842,0.301161983053712,0.318779743982768,0.270015038336775
Q1,0.249385299758303,0.354664017178757,0.429873896162294,0.353817939338244,0.353982507485696
Q2,0.343387794754455,0.407511765669872,0.46559075261035,0.401596742066541,0.407205392431176
Q3,0.448530835396035,0.485781584115217,0.567544981275115,0.462995907589973,0.440455015952804
max,0.752879522003446,0.875991534238537,1,0.623222852293985,0.642649965780602
mean,0.403712754299637,0.472031097659202,0.51349114812266,0.417301270014429,0.407279652547772
Std Dev,0.185535408211678,0.173480130264859,0.158280652412169,0.0834484990177391,0.0884516890192179

Left Ear_person1_test3
min,0.279928742792376,0.394060347338795,0.352640975033425,0.343712495030522,0.296669090946906
Q1,0.401895703935653,0.475043045488307,0.477113462406814,0.416290509563242,0.370333591359943
Q2,0.48121376285088,0.516132829044397,0.521226771172589,0.471736608033273,0.42858283596592
Q3,0.533530124633531,0.55531500322224,0.580293100297959,0.523226063698808,0.497367142358545
max,0.82246453366686,0.848922621864013,0.837158929555302,0.963627393985903,0.946617796296766
mean,0.488794012315782,0.528162191999845,0.551759309158279,0.499455777988591,0.481149335439885
Std Dev,0.12039412516059,0.100734980338792,0.120041057549159,0.131398622652847,0.162939093844555

Left Forehead_person1_test3
min,0.0144889824505094,0.0931989285833671,0.0839962221938327,0.0873531223926941,0.183966099073119
Q1,0.0679771293547829,0.201756162526686,0.149918599795483,0.198955243142693,0.359148431594676
Q2,0.127940154718035,0.253847654264035,0.193186507652881,0.256859367814255,0.428411316514158
Q3,0.312630692384975,0.317484865333508,0.255210858256855,0.283805642169992,0.469577965957386
max,0.899595769973134,0.867282925482531,0.549750305171625,0.394115850062819,0.512411501097426
mean,0.228903016479984,0.307422450168176,0.228618017342383,0.242756502224865,0.409746737086855
Std Dev,0.251497604936281,0.200990977039685,0.124355828214058,0.0728825347787238,0.0841118022053539

Right Forehead_person1_test3
min,0.00726852193568245,0,0.103275888655832,0.143663877371763,0.248715314756717
Q1,0.104357495320433,0.161816089318419,0.183531135619264,0.219134466222446,0.328266790415449
Q2,0.202698246529463,0.239408736531342,0.247925653682592,0.271243786856208,0.38129905284086
Q3,0.46185657078489,0.419897161062731,0.35851592862689,0.311178651030899,0.43711694064933
max,1,0.830128865916342,0.602491845675361,0.394170403496135,0.504856185586777
mean,0.309800200018145,0.326477865823934,0.290560489037311,0.267364890379042,0.380714624519287
Std Dev,0.279503366016147,0.234945123891197,0.145982047640241,0.069745057660071,0.0661715940129475

Right Ear_person1_test3
min,0.221301373467687,0.260834104938062,0.26539284831915,0.277645177964906,0.255004623030922
Q1,0.273509854285653,0.388072382431336,0.432529712376095,0.350837422442345,0.321375147942839
Q2,0.3630535219804,0.434348794792174,0.477983227332272,0.39564180419304,0.375619794865595
Q3,0.574253931532897,0.561980785790168,0.574435325798732,0.456758471203566,0.437367980392577
max,0.810057961767855,0.807023601845049,0.741955325162782,0.586995465285066,0.584778858196505
mean,0.429978480403482,0.48498819324548,0.50516515369906,0.401865768143242,0.379961894697103
Std Dev,0.178521952163725,0.144969169945883,0.122218416193035,0.0799957072708718,0.0809249082419903

Left Ear_person1_test4
min,0.241517430431252,0.301308754728388,0.424879239831411,0.374390708783708,0.365828718426675
Q1,0.369963391341353,0.415533089409307,0.477416150731052,0.458765308923083,0.465714856548254
Q2,0.404610242213121,0.480779100705608,0.553943012493699,0.491989392672911,0.515933199055506
Q3,0.439922524929933,0.518378947146917,0.609098340020189,0.53637444133842,0.548821905094303
max,0.634833186551274,0.598602193499248,0.770848141684427,1,1
mean,0.407412244142282,0.465302575034068,0.559913922106928,0.523619732955001,0.536222819460771
Std Dev,0.084439179786887,0.0756568407234488,0.0949321370269369,0.126057838417714,0.133859594625385

Left Forehead_person1_test4
min,0.00883806359252939,0.0426870022188594,0.0549842635182072,0.070987609700733,0.155483169450689
Q1,0.0817946816026491,0.175470719003086,0.129146596250671,0.165509729026718,0.351106757372444
Q2,0.153234337716994,0.205852157751583,0.15934348564807,0.264711859336914,0.391375125844842
Q3,0.197434628088949,0.255955281466613,0.209369636516067,0.295239414150608,0.449745372581975
max,0.850662853744239,0.906614907904192,0.670685017672471,0.349990845116111,0.533313814302734
mean,0.196873787245518,0.249776899039187,0.1937446275334,0.236396626581192,0.390028218135574
Std Dev,0.198618560383778,0.192782716500562,0.137581528597928,0.0826520314641297,0.0903464156703914

Right Forehead_person1_test4
min,0.0589566340479907,0.0644780334237854,0,0,0.0775845953564309
Q1,0.10753830524507,0.210750251767224,0.135403726067219,0.142697269559664,0.2667954693907
Q2,0.191773442309387,0.274034398591105,0.177240171710276,0.182037685806707,0.355673279817185
Q3,0.22262125818753,0.299616986529488,0.236736067299653,0.238857684125693,0.414269612459631
max,0.859753291988308,0.859830600133315,0.604683669233166,0.327730753882497,0.527101937409374
mean,0.220223627744928,0.278264226125743,0.197415330059519,0.179796543857798,0.33332868898015
Std Dev,0.17228436821152,0.143817817088885,0.123746402908184,0.0821589117260333,0.12098065839346

Right Ear_person1_test4
min,0.238060210484642,0.303961210124174,0.244575383253727,0.311698444734062,0.313108388724562
Q1,0.336693502227499,0.423081262760888,0.407250398500583,0.35899891681745,0.382300856427365
Q2,0.372443964966863,0.46443237075603,0.450514936666687,0.376938421809183,0.406441560872507
Q3,0.434025473962239,0.517281725805256,0.511526393710885,0.406520672330975,0.43718204004807
max,0.687359749014104,0.722089265540101,0.671061508567411,0.505023266161545,0.70070789762908
mean,0.399752128720141,0.478143440353334,0.456388229393497,0.387927461030246,0.418859233894319
Std Dev,0.108368885939123,0.0908104960653416,0.0809061052464086,0.046501272316935,0.0771870898970491

Left Ear_person1_test5
min,0.255566944647607,0.331135030199837,0.349666984454116,0.376687417681783,0.244636383311853
Q1,0.364977505432046,0.447697773690161,0.461702686954788,0.47712534725258,0.480395907710966
Q2,0.406663546377461,0.489915147874589,0.495148476993333,0.515391527811633,0.51712925703285
Q3,0.453610612936971,0.53116203070343,0.586152401358795,0.543698259022354,0.557068408248792
max,0.788252683017076,0.908404057673495,0.776047455758791,0.672034950870789,0.719195861695137
mean,0.43665800933544,0.518570374097811,0.533306033753129,0.50748825054444,0.509239154773287
Std Dev,0.128510701292796,0.131045728948765,0.111656077491858,0.0694506082959931,0.093960628774267

Left Forehead_person1_test5
min,0,0.0535851190633106,0.0322659314408284,0.117708979451648,0.27365176546746
Q1,0.110054529581452,0.158642750744295,0.116668825191953,0.272565307044283,0.380084734118852
Q2,0.163639868332435,0.190583003166488,0.152652467627045,0.320867081723657,0.455430810197056
Q3,0.223871391962275,0.289965083955862,0.22151441899581,0.346012485086752,0.488820317938179
max,0.945111896453153,1,0.701056840243522,0.404229730808882,0.650036691773891
mean,0.223877075676379,0.261468307147044,0.200199859822093,0.309946272141608,0.44165857823655
Std Dev,0.218415947343314,0.213656731519524,0.157256847856088,0.0668760273490726,0.089935672821555

Right Forehead_person1_test5
min,0.0248043941738419,0.0871972032999123,0.0694889906534096,0.152819146486359,0.132158863798997
