,delta ,theta ,alpha ,beta ,gamma

Left Ear_person1_test1
min,-0.3063455,-0.33277163,0.2184433,0.1798183,-0.14220695
Q1,0.0865238005,-0.0250266325,0.368537175,0.457041175,0.0459991175
Q2,0.379730375,0.2747171,0.5333999,0.5467935,0.23753091
Q3,0.71953245,0.5107105875,0.6767203,0.6222284,0.3181565775
max,1.2033314,1.0591823,0.9470065,0.7056632,0.46185383
mean,0.418421858535714,0.229590864642857,0.538856425,0.522759760714286,0.191707685821429
Std Dev,0.412696391430527,0.324975178491194,0.198719718531259,0.125590422239877,0.161583479023035

Left Forehead_person1_test1
min,-0.6936635,-0.7938588,-0.4460378,-0.19410412,-0.55693066
Q1,-0.5243253,-0.645692695,-0.288205425,-0.083097965,-0.3872372875
Q2,-0.3392651,-0.51730413,-0.2360708,0.0384359695,-0.315226215
Q3,-0.058138675,-0.388211885,-0.174833025,0.0887772025,-0.1928413775
max,1.4937695,1.1050736,0.4427584,0.19809791,0.01129946
mean,-0.200640785714286,-0.418642931071429,-0.214762732142857,0.0115671402142857,-0.287246977142857
Std Dev,0.487713116709288,0.377261115131843,0.174152705600903,0.106043282709871,0.142690758500842

Right Forehead_person1_test1
min,-0.6624086,-0.7452333,-0.5508354,-0.5006785,-0.7981672
Q1,-0.51219777,-0.593472735,-0.3172486425,-0.367573125,-0.6010315
Q2,-0.36488435,-0.38253992,-0.26783967,-0.32297155,-0.4290061
Q3,0.2146145775,-0.2050007375,-0.055137965,-0.268676325,-0.2617449
max,1.0356786,0.9045357,0.5246531,-0.1000935,-0.1062708
mean,-0.146703853214286,-0.331884268714286,-0.1938399405,-0.316264264285714,-0.437440325
Std Dev,0.467391270655529,0.350303094426729,0.233010128581608,0.0886223413186549,0.205674071306973

Right Ear_person1_test1
min,-0.5624173,-0.34330678,0.09512985,-0.19733706,-0.6826912
Q1,-0.0539893875,-0.023673345,0.1898717625,-0.03541110775,-0.478264775
Q2,0.101753285,0.062411895,0.28294067,0.0207105665,-0.41259175
Q3,0.53622763,0.41837066,0.518114315,0.134124015,-0.35276575
max,1.303026,0.88274646,0.8350855,0.2579464,-0.1917709
mean,0.245836089285714,0.1636819175,0.362730374642857,0.0406718654642857,-0.419579607142857
Std Dev,0.429320014548445,0.289721259825679,0.234781925779168,0.134702782766706,0.114681060501491

Left Ear_person1_test2
min,-0.2666613,-0.22409204,0.08507782,-0.01889224,-0.5169063
Q1,-0.0875027,-0.10069635,0.2378708,0.08884092,-0.29923636
Q2,0.01520247,0.006333736,0.31572786,0.12657334,-0.25176898
Q3,0.38922295,0.18249844,0.4473777,0.25568905,-0.17113926
max,0.9275941,1.0469546,1.2457143,0.78454584,0.24320488
mean,0.158790453448276,0.0869856887931034,0.409634535862069,0.220113447241379,-0.207362219344828
Std Dev,0.352560055682694,0.304076496092277,0.279120579127595,0.230462580071284,0.182160078769638

Left Forehead_person1_test2
min,-0.9135913,-0.8997379,-0.46093637,-0.4552192,-1.0701075
Q1,-0.6012156,-0.74057484,-0.3007456,-0.3773526,-0.5483311
Q2,-0.44120634,-0.5384533,-0.25888938,-0.299447,-0.3933282
Q3,-0.12023749,-0.18433768,-0.1008705,-0.1921945,-0.3145487
max,1.4562824,0.9998763,0.5928184,-0.1145191,-0.21851
mean,-0.224122008965517,-0.379612342413793,-0.169037963793103,-0.284135455172414,-0.475434334482759
Std Dev,0.600577614427015,0.489414702832495,0.258082650928717,0.109683093010163,0.223419955341721

Right Forehead_person1_test2
min,-0.90733445,-0.9228725,-0.54242194,-0.50138336,-0.88475144
Q1,-0.5483824,-0.68029606,-0.3438326,-0.4108824,-0.4460596
Q2,-0.3435324,-0.47175315,-0.14751403,-0.30623615,-0.32291174
Q3,0.24189216,-0.0240078,0.03246923,-0.24295661,-0.20293197
max,1.3842757,0.5916488,0.47069463,0.05320674,-0.0606134
mean,-0.149659277931034,-0.351478441034483,-0.0970600086206897,-0.302750032758621,-0.369979639310345
Std Dev,0.588694162285136,0.437470175639245,0.284947672677413,0.14033304840565,0.218492498138773

Right Ear_person1_test2
min,-0.42611194,-0.5054009,-0.07499903,-0.014128769,-0.55080074
Q1,-0.29041007,-0.30097258,0.19944602,0.04953975,-0.3893102
Q2,-0.03825769,-0.16485302,0.27560303,0.13635945,-0.28694922
Q3,0.2437781,0.03674598,0.4929942,0.24792895,-0.22300184
max,1.0601633,1.0418069,1.4150933,0.53908014,0.16586985
mean,0.123558037586207,0.00132895241379311,0.377738303448276,0.164896423034483,-0.286806399137931
Std Dev,0.497680351534935,0.446831505118248,0.33749278148515,0.151635730417322,0.170114821470822

Left Ear_person1_test3
min,-0.20848031,-0.19949974,0.03476668,0.03117697,-0.4995383
Q1,0.11868398,0.00908680445,0.300172245,0.1630597525,-0.3578629575
Q2,0.331446815,0.11492146,0.39423253,0.26381183,-0.245835025
Q3,0.4717802725,0.2158427,0.520176285,0.3573742225,-0.11354552175
max,1.2468182,0.9720857,1.0678766,1.1576352,0.75047636
mean,0.351780083214286,0.14590540235,0.459335314285714,0.314180819642857,-0.144736439178571
Std Dev,0.322945313297302,0.259462353493271,0.255956680663579,0.238766740640343,0.313372815910408

Left Forehead_person1_test3
min,-0.92049617,-0.9744263,-0.53804916,-0.43465814,-0.71629447
Q1,-0.777019515,-0.694816225,-0.397486645,-0.23186397,-0.37937483
Q2,-0.61617464,-0.56064455,-0.30522896,-0.12664537,-0.2461649
Q3,-0.12076057,-0.39673465,-0.172977985,-0.0776808225,-0.16699109
max,1.4537151,1.0193762,0.45505163,0.12276579,-0.08461144
mean,-0.345351765714286,-0.422652339285714,-0.229680378571429,-0.152271934285714,-0.282061575714286
Std Dev,0.674617409373853,0.517690992326983,0.265156819347461,0.132436131577254,0.1617681287312

Right Forehead_person1_test3
min,-0.93986434,-1.2144781,-0.49694023,-0.33233488,-0.59176546
Q1,-0.6794327875,-0.79768958,-0.3258165575,-0.19519595,-0.438767985
Q2,-0.415643465,-0.597834765,-0.18851181,-0.10050719,-0.33677362
Q3,0.279523065,-0.1329520475,0.0472935075,-0.02794084825,-0.2294217975
max,1.7230395,0.92367876,0.5675094,0.12286492,-0.09914221
mean,-0.128353085357143,-0.373571444285714,-0.0976039892857143,-0.107555600785714,-0.3378976225
Std Dev,0.749740088939843,0.605146440507152,0.31126917001016,0.126734966904976,0.127264600899894

Right Ear_person1_test3
min,-0.36574242,-0.5426496,-0.15126751,-0.08887511,-0.57966954
Q1,-0.2256983425,-0.2149228975,0.205108865,0.0441238005,-0.452022345
Q2,0.014493675,-0.09572908,0.302026795,0.125538628,-0.34769626
Q3,0.58101785,0.2330117075,0.5076860875,0.236594795,-0.228938985
max,1.2135388,0.8641667,0.8648794,0.47325072,0.05456917
mean,0.194013245714286,0.0347024489285714,0.359985261785714,0.136848302,-0.339345311071429
Std Dev,0.478867450509392,0.373396032754671,0.260599337955001,0.14536160200665,0.155638930932543

Left Ear_person1_test4
min,-0.31151485,-0.43839934,0.1887962,0.08692289,-0.36652696
Q1,0.033028715,-0.144192555,0.30081765,0.240241455,-0.17442082
Q2,0.12596546,0.02386112,0.4639915,0.30061352,-0.07783833
Q3,0.22068716,0.12070677,0.58159605,0.38126637,-0.014585085
max,0.7435157,0.3273372,0.9264859,1.2237285,0.85314375
mean,0.133481552580645,-0.0160016541935484,0.476722929032258,0.358089565806452,-0.0388162921935484
Std Dev,0.226499734388783,0.19486877235645,0.2024183656643,0.229061907982736,0.257445632687764

Left Forehead_person1_test4
min,-0.9356542,-1.1045295,-0.5999097,-0.4643962,-0.7710743
Q1,-0.7399553,-0.76251945,-0.4417776,-0.2926384,-0.39484099
Q2,-0.5483255,-0.6842662,-0.3773905,-0.11237647,-0.3173948
Q3,-0.4297626,-0.55521595,-0.2707226,-0.056904315,-0.20513415
max,1.3224574,1.1206833,0.7129138,0.04258547,-0.04441104
mean,-0.431267,-0.571129564516129,-0.304038912903226,-0.163828575806452,-0.319985241935484
Std Dev,0.532774611088709,0.496549035576666,0.293357223765926,0.150188455263582,0.1737588568711

Right Forehead_person1_test4
min,-0.8012161,-1.0484025,-0.7171495,-0.59338903,-0.92089283
Q1,-0.67090058,-0.671650215,-0.42843588,-0.33409132,-0.55699278
Q2,-0.44494817,-0.5086497,-0.33923042,-0.26260516,-0.38605842
Q3,-0.36220196,-0.442756815,-0.212370725,-0.159356545,-0.27336295
max,1.3468416,1.0001813,0.5721829,0.002136268,-0.05635804
mean,-0.368633366129032,-0.497754964096774,-0.296212083870968,-0.266677578322581,-0.429032682258065
Std Dev,0.462135749515043,0.370430501605777,0.263857376626874,0.149292398743098,0.232676202481045

Right Ear_person1_test4
min,-0.3207885,-0.43156743,-0.1956554,-0.026996322,-0.4679214
Q1,-0.0562144665,-0.12475078,0.15120723,0.058954195,-0.3348469
Q2,0.039682608,-0.018243033,0.24345773,0.091552384,-0.28841826
Q3,0.204868905,0.117880665,0.37354897,0.14530681,-0.229296595
max,0.884413,0.64540195,0.71371657,0.3242976,0.27752984
mean,0.112934051848387,0.0170724688709677,0.255981016129032,0.111520759806452,-0.26453595483871
Std Dev,0.290688800426168,0.233899931798879,0.172511460387697,0.0844982770944062,0.148450167128362

Left Ear_person1_test5
min,-0.27382842,-0.36157602,0.02842541,0.09109628,-0.59961027
Q1,0.01965457,-0.0613462125,0.26731273,0.2736038025,-0.14618547
Q2,0.131473245,0.04739277,0.338627275,0.34313795,-0.07553801
Q3,0.2574041,0.153632065,0.5326697375,0.3945746075,0.0012750125
max,1.1550483,1.1252916,0.9375721,0.62777746,0.31308684
mean,0.211930420333333,0.121199827,0.419988450666667,0.328776766333333,-0.0907126590333333
Std Dev,0.344717224662748,0.337533527419514,0.238077867308257,0.126199917803812,0.180709896740895

Left Forehead_person1_test5
min,-0.95936143,-1.0764593,-0.6483507,-0.37949798,-0.5438064
Q1,-0.6641510575,-0.805863125,-0.4683832375,-0.0981058325,-0.33910906
Q2,-0.520413695,-0.72359485,-0.391657375,-0.010335831,-0.194199625
Q3,-0.3588486,-0.46761715,-0.244826975,0.03535632225,-0.1299832125
max,1.5758076,1.3612146,0.7776739,0.1411439,0.18007638
mean,-0.358833354,-0.54101609,-0.290274790333333,-0.0301802255333333,-0.220687087333333
Std Dev,0.585879140280538,0.550314083680699,0.335309781591839,0.121521601632759,0.172968895173647

Right Forehead_person1_test5
min,-0.8928261,-0.9898849,-0.5689821,-0.31569868,-0.8159328
Q1,-0.5333289375,-0.6950397775,-0.37094778,-0.167086225,-0.419450045
Q2,-0.361331195,-0.5790366,-0.23167352,-0.066708322,-0.284110205
Q3,0.0503223045,-0.26872292,-0.05117071,-0.001155078525,-0.16240359
max,1.6734282,0.6804241,0.4522643,0.21780269,-0.04146431
mean,-0.113963954433333,-0.4224964345,-0.189974636,-0.0666265171066667,-0.304562616
Std Dev,0.636764316132808,0.437299759861282,0.257542953078802,0.123386371562546,0.182718961901441

Right Ear_person1_test5
min,-0.4381377,-0.5163707,-0.24846421,-0.056004353,-0.49790654
Q1,-0.070001065,-0.262032175,0.11002701,0.0820353475,-0.37154171
Q2,0.07059208,-0.09837704,0.23048422,0.14094775,-0.307955805
Q3,0.46773535,0.2557355625,0.639808395,0.2144789975,-0.2408278675
max,1.518186,1.1520529,1.0874354,0.4312289,-0.03771555
mean,0.224313060230333,0.0506658419,0.332707136,0.148271421266667,-0.306833899666667
Std Dev,0.492124440463175,0.445337100801521,0.376384036584824,0.10846460109406,0.113945189531087

